Source;Target;Type
469;1335;Directed
469;1738;Directed
469;467;Directed
469;2188;Directed
469;2976;Directed
469;465;Directed
469;599;Directed
469;345;Directed
469;605;Directed
469;468;Directed
469;1626;Directed
469;2223;Directed
469;3494;Directed
469;3093;Directed
469;1075;Directed
469;596;Directed
469;340;Directed
469;1678;Directed
469;1524;Directed
469;600;Directed
469;603;Directed
469;608;Directed
469;350;Directed
469;352;Directed
469;1525;Directed
469;342;Directed
252;248;Directed
1242;1218;Directed
1242;1229;Directed
494;1212;Directed
494;1227;Directed
494;1055;Directed
494;1606;Directed
494;1054;Directed
494;1056;Directed
494;680;Directed
494;1352;Directed
494;3998;Directed
494;1222;Directed
494;1230;Directed
494;599;Directed
494;1626;Directed
1070;1367;Directed
1070;1386;Directed
1070;304;Directed
1070;1353;Directed
1070;4198;Directed
1070;1074;Directed
1152;1157;Directed
287;507;Directed
287;231;Directed
287;1264;Directed
287;1273;Directed
287;246;Directed
287;1418;Directed
287;293;Directed
287;1538;Directed
287;346;Directed
287;1555;Directed
287;1551;Directed
287;1512;Directed
287;1157;Directed
287;1156;Directed
287;1606;Directed
287;5804;Directed
287;1094;Directed
287;1613;Directed
287;1084;Directed
287;1218;Directed
287;478;Directed
287;1386;Directed
287;1382;Directed
287;1154;Directed
287;1739;Directed
287;5699;Directed
287;5697;Directed
287;1701;Directed
287;1399;Directed
287;210;Directed
287;1229;Directed
287;253;Directed
287;1128;Directed
287;2177;Directed
287;2170;Directed
287;2072;Directed
287;2074;Directed
287;302;Directed
287;580;Directed
287;2176;Directed
287;1335;Directed
287;1353;Directed
287;2241;Directed
287;2188;Directed
287;1665;Directed
287;345;Directed
287;344;Directed
287;1354;Directed
287;1074;Directed
287;1435;Directed
287;1044;Directed
287;296;Directed
287;340;Directed
287;1678;Directed
287;1524;Directed
287;1638;Directed
3986;548;Directed
3986;1246;Directed
3986;1212;Directed
3986;1515;Directed
3986;1553;Directed
3986;1056;Directed
3986;699;Directed
3986;3998;Directed
3986;1222;Directed
3986;1739;Directed
3986;1737;Directed
3986;1474;Directed
3986;1662;Directed
3986;535;Directed
3986;2944;Directed
3986;2940;Directed
3986;1230;Directed
3986;599;Directed
3986;1626;Directed
3986;1075;Directed
3986;1636;Directed
664;502;Directed
664;548;Directed
664;1212;Directed
664;665;Directed
664;609;Directed
664;676;Directed
664;1054;Directed
664;1056;Directed
664;674;Directed
664;668;Directed
664;671;Directed
664;1222;Directed
664;491;Directed
664;1739;Directed
664;679;Directed
664;8832;Directed
664;3953;Directed
664;3959;Directed
664;1657;Directed
664;535;Directed
664;1688;Directed
664;1230;Directed
664;580;Directed
664;636;Directed
664;666;Directed
664;353;Directed
1531;548;Directed
1531;1515;Directed
1531;1190;Directed
1531;1519;Directed
1063;248;Directed
1063;1059;Directed
1063;302;Directed
1063;1074;Directed
1562;502;Directed
1562;548;Directed
1562;507;Directed
1562;1246;Directed
1562;523;Directed
1562;364;Directed
